overall_rank,name,country,region,hospital_type,total_score,percentile,certification_score,quality_initiatives_score,patient_feedback_score,certification_count
1,Fortis Memorial Research Institute,India,Asia-Pacific,Multi-specialty Hospital,70.0,100.0,70.0,0,0,2
1,Asansol Healthworld Pvt. Ltd.,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Vasantha Subramanian Hospitals India Pvt. Ltd.,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,SS Hospital,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Rashtrasant Tukdoji Cancer Hospital and Research Centre,India,Asia-Pacific,Cancer Specialty,70.0,100.0,70.0,0,0,2
1,Dhanalakshmi Srinivasan Medical College and Hospital,India,Asia-Pacific,Teaching Hospital,70.0,100.0,70.0,0,0,2
1,Upasani Super Speciality Hospital Private Limited,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,City Hospital,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,"Institute of liver & Biliary Sciences, Vasant Kunj",India,Asia-Pacific,Teaching Hospital,70.0,100.0,70.0,0,0,2
1,Apollo Hospitals,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Max Hospital,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Manipal Hospital,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Fortis Hospital,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Max Super Speciality Hospital,India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
1,Queens NRI Hospital (A Unit of Ms Chalasani Hospital Pvt. Ltd.),India,Asia-Pacific,General Hospital,70.0,100.0,70.0,0,0,2
16,Medicana International Istanbul,Turkey,Europe,Private Hospital,65.0,99.06,65.0,0,0,1
16,Hamad Medical Corporation,Qatar,Middle East,Public Hospital System,65.0,99.06,65.0,0,0,1
16,Sidra Medicine,Qatar,Middle East,Women and Children Hospital,65.0,99.06,65.0,0,0,1
16,King Hussein Cancer Center,Jordan,Middle East,Cancer Center,65.0,99.06,65.0,0,0,1
16,American University of Beirut Medical Center,Lebanon,Middle East,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,Anadolu Medical Center,Turkey,Europe,Private Hospital,65.0,99.06,65.0,0,0,1
16,AcÄ±badem Healthcare Group,Turkey,Europe,Hospital Network,65.0,99.06,65.0,0,0,1
16,Memorial Healthcare Group,Turkey,Europe,Hospital Network,65.0,99.06,65.0,0,0,1
16,Hirslanden Private Hospital Group,Switzerland,Europe,Private Hospital Network,65.0,99.06,65.0,0,0,1
16,Hospital Italiano de Buenos Aires,Argentina,Americas,Private Hospital,65.0,99.06,65.0,0,0,1
16,Hospital SÃ­rio-LibanÃªs,Brazil,Americas,Private Hospital,65.0,99.06,65.0,0,0,1
16,Hospital AlemÃ£o Oswaldo Cruz,Brazil,Americas,Private Hospital,65.0,99.06,65.0,0,0,1
16,FundaciÃ³n Cardioinfantil,Colombia,Americas,Cardiac Hospital,65.0,99.06,65.0,0,0,1
16,Hospital Pablo TobÃ³n Uribe,Colombia,Americas,General Hospital,65.0,99.06,65.0,0,0,1
16,Hospital BritÃ¡nico de Buenos Aires,Argentina,Americas,Private Hospital,65.0,99.06,65.0,0,0,1
16,Al Zahra Hospital Dubai,UAE,Middle East,Private Hospital,65.0,99.06,65.0,0,0,1
16,General Hospital,India,Asia-Pacific,General Hospital,65.0,99.06,65.0,0,0,1
16,CARE Hospital,India,Asia-Pacific,General Hospital,65.0,99.06,65.0,0,0,1
16,University Hospital Zurich,Switzerland,Europe,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,Mediclinic City Hospital,UAE,Middle East,Private Hospital,65.0,99.06,65.0,0,0,1
16,Hospital Israelita Albert Einstein,Brazil,Americas,Private Hospital,65.0,99.06,65.0,0,0,1
16,Cleveland Clinic Abu Dhabi,UAE,Middle East,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,American Hospital Dubai,UAE,Middle East,Private Hospital,65.0,99.06,65.0,0,0,1
16,National University Hospital Singapore,Singapore,Asia-Pacific,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,Mount Elizabeth Hospital,Singapore,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Gleneagles Hospital Singapore,Singapore,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Raffles Hospital,Singapore,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Apollo Hospitals Chennai,India,Asia-Pacific,Multi-specialty Hospital,65.0,99.06,65.0,0,0,1
16,Max Super Speciality Hospital Saket,India,Asia-Pacific,Multi-specialty Hospital,65.0,99.06,65.0,0,0,1
16,Medanta The Medicity,India,Asia-Pacific,Multi-specialty Hospital,65.0,99.06,65.0,0,0,1
16,Manipal Hospital Bangalore,India,Asia-Pacific,Multi-specialty Hospital,65.0,99.06,65.0,0,0,1
16,Singapore General Hospital,Singapore,Asia-Pacific,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,Bangkok Hospital,Thailand,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Bumrungrad International Hospital,Thailand,Asia-Pacific,International Hospital,65.0,99.06,65.0,0,0,1
16,King Faisal Specialist Hospital,Saudi Arabia,Middle East,Specialty Hospital,65.0,99.06,65.0,0,0,1
16,Samsung Medical Center,South Korea,Asia-Pacific,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,Asan Medical Center,South Korea,Asia-Pacific,Academic Medical Center,65.0,99.06,65.0,0,0,1
16,King Abdulaziz Medical City,Saudi Arabia,Middle East,Medical City,65.0,99.06,65.0,0,0,1
16,Pantai Hospital Kuala Lumpur,Malaysia,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Prince Court Medical Centre,Malaysia,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Samitivej Hospital,Thailand,Asia-Pacific,Private Hospital,65.0,99.06,65.0,0,0,1
16,Seoul National University Hospital,South Korea,Asia-Pacific,Academic Medical Center,65.0,99.06,65.0,0,0,1
58,Apple Indore Hospital and Research Center (A Unit of Friends Unity Hospital and Research Centre Private Limited),India,Asia-Pacific,General Hospital,40.0,96.41,40.0,0,0,1
59,Nirvan Hospital Pvt Ltd,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Public Health Centre,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Medhansh Hospital,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Sunflag Global Hospital,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Mar Sleeva Medicity Palai,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Ramdevrao Hospital,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,SP Fort Hospital,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Surya Hospital,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Zydus Hospitals,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Barala Hospital and Research Centre,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Medicover Hospitals (A Unit of Sahrudaya Healthcare Pvt. Ltd.),India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Cosmos Hospital ( A Unit of Emerging Project Pvt. Ltd.),India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Sevenhills Hospital,India,Asia-Pacific,General Hospital,36.0,96.35,36.0,0,0,1
59,Thiraviam Orthopaedic Hospital,India,Asia-Pacific,Orthopedic Specialty,36.0,96.35,36.0,0,0,1
