id,name,country,city,sources,source_count,certifications_count,certification_names,has_jci,jci_accreditation_date,jci_expiry_date,total_score,certification_score,quality_initiatives_score,patient_feedback_score,website,last_updated
,Singapore General Hospital,Singapore,,,0,1,Joint Commission International (JCI),yes,2019-01-15,,,,,,,2025-09-25T13:07:24.202800
,National University Hospital Singapore,Singapore,,,0,1,Joint Commission International (JCI),yes,2018-06-20,,,,,,,2025-09-25T13:07:24.202800
,Mount Elizabeth Hospital,Singapore,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.202800
,Gleneagles Hospital Singapore,Singapore,,,0,1,Joint Commission International (JCI),yes,2016-11-25,,,,,,,2025-09-25T13:07:24.202800
,Raffles Hospital,Singapore,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.202800
,Apollo Hospitals Chennai,India,,,0,1,Joint Commission International (JCI),yes,2019-05-08,,,,,,,2025-09-25T13:07:24.202800
,Fortis Memorial Research Institute,India,,,0,2,Joint Commission International (JCI); National Accreditation Board for Hospitals & Healthcare Providers (NABH),yes,2018-12-15,,,,,,,2025-09-25T13:07:24.202800
,Max Super Speciality Hospital Saket,India,,,0,1,Joint Commission International (JCI),yes,2017-08-22,,,,,,,2025-09-25T13:07:24.202800
,Medanta The Medicity,India,Gurgaon,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,
,Manipal Hospital Bangalore,India,,,0,1,Joint Commission International (JCI),yes,2018-07-30,,,,,,,2025-09-25T13:07:24.202800
,Bumrungrad International Hospital,Thailand,,,0,1,Joint Commission International (JCI),yes,2019-04-12,,,,,,,2025-09-25T13:07:24.202800
,Bangkok Hospital,Thailand,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.202800
,Samitivej Hospital,Thailand,,,0,1,Joint Commission International (JCI),yes,2017-12-20,,,,,,,2025-09-25T13:07:24.203802
,Prince Court Medical Centre,Malaysia,,,0,1,Joint Commission International (JCI),yes,2018-03-15,,,,,,,2025-09-25T13:07:24.203802
,Pantai Hospital Kuala Lumpur,Malaysia,,,0,1,Joint Commission International (JCI),yes,2017-09-08,,,,,,,2025-09-25T13:07:24.203802
,Seoul National University Hospital,South Korea,,,0,1,Joint Commission International (JCI),yes,2019-01-25,,,,,,,2025-09-25T13:07:24.203802
,Asan Medical Center,South Korea,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Samsung Medical Center,South Korea,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,King Faisal Specialist Hospital,Saudi Arabia,,,0,1,Joint Commission International (JCI),yes,2019-03-20,,,,,,,2025-09-25T13:07:24.203802
,King Abdulaziz Medical City,Saudi Arabia,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Cleveland Clinic Abu Dhabi,UAE,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,American Hospital Dubai,UAE,,,0,1,Joint Commission International (JCI),yes,2018-04-25,,,,,,,2025-09-25T13:07:24.203802
,Mediclinic City Hospital,UAE,,,0,1,Joint Commission International (JCI),yes,2017-11-12,,,,,,,2025-09-25T13:07:24.203802
,Al Zahra Hospital Dubai,UAE,,,0,1,Joint Commission International (JCI),yes,2018-09-30,,,,,,,2025-09-25T13:07:24.203802
,Hamad Medical Corporation,Qatar,,,0,1,Joint Commission International (JCI),yes,2019-02-14,,,,,,,2025-09-25T13:07:24.203802
,Sidra Medicine,Qatar,,,0,1,Joint Commission International (JCI),yes,2018-12-08,,,,,,,2025-09-25T13:07:24.203802
,King Hussein Cancer Center,Jordan,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,American University of Beirut Medical Center,Lebanon,,,0,1,Joint Commission International (JCI),yes,2018-07-18,,,,,,,2025-09-25T13:07:24.203802
,Anadolu Medical Center,Turkey,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Acıbadem Healthcare Group,Turkey,,,0,1,Joint Commission International (JCI),yes,2018-10-15,,,,,,,2025-09-25T13:07:24.203802
,Memorial Healthcare Group,Turkey,,,0,1,Joint Commission International (JCI),yes,2017-12-05,,,,,,,2025-09-25T13:07:24.203802
,Medicana International Istanbul,Turkey,,,0,1,Joint Commission International (JCI),yes,2018-06-28,,,,,,,2025-09-25T13:07:24.203802
,Hirslanden Private Hospital Group,Switzerland,,,0,1,Joint Commission International (JCI),yes,2019-01-12,,,,,,,2025-09-25T13:07:24.203802
,University Hospital Zurich,Switzerland,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Hospital Israelita Albert Einstein,Brazil,,,0,1,Joint Commission International (JCI),yes,2019-03-15,,,,,,,2025-09-25T13:07:24.203802
,Hospital Sírio-Libanês,Brazil,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Hospital Alemão Oswaldo Cruz,Brazil,,,0,1,Joint Commission International (JCI),yes,2017-08-10,,,,,,,2025-09-25T13:07:24.203802
,Fundación Cardioinfantil,Colombia,,,0,1,Joint Commission International (JCI),yes,2018-05-18,,,,,,,2025-09-25T13:07:24.203802
,Hospital Pablo Tobón Uribe,Colombia,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Hospital Británico de Buenos Aires,Argentina,,,0,1,Joint Commission International (JCI),yes,,,,,,,,2025-09-25T13:07:24.203802
,Hospital Italiano de Buenos Aires,Argentina,,,0,1,Joint Commission International (JCI),yes,2017-10-30,,,,,,,2025-09-25T13:07:24.203802
,B.M. Birla Heart Research Centre,India,Kolkata,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Malabar Institute of Medical Sciences Ltd. (Aster MIMS),India,Calicut,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Kerala Institute of Medical Sciences (KIMS),India,Trivandrum,,0,1,National Accreditation Board for Hospitals & Healthcare Providers (NABH),no,,,,,,,,2025-09-22T12:41:05.733547
,Max Super Speciality Hospital,India,New Delhi,,0,2,National Accreditation Board for Hospitals & Healthcare Providers (NABH); Joint Commission International (JCI),yes,2017-08-22,,,,,,,2025-09-22T12:41:05.733547
