reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,facility_type,country,status,extracted_date
D-2010-0001,"Maulana Azad Inst of Dental Sciences, New Delhi, Delhi, India",D-2011-0001,22 Jul 2024,21 Jul 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.352049
D-2011-0005,"Air Force Institute of Dental Sciences, Bangalore, Karnataka, India",D-2012-0002,19 Aug 2024,18 Aug 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.352049
D-2016-0075,"Dental Life , Srinivaspuri  , New Delhi, Delhi, India",D-2013-0003,22 Apr 2016,21 Apr 2019,Application closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
D-2010-0002,"Deshmukh Dental Clinic, Jabalpur, Madhya Pradesh, India",D-2013-0004,24 Jun 2022,23 Jun 2025,Renewal Under Process,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
D-2014-0012,"Goel's Multispeciality Dental Clinic & Implant Centre , New Delhi, Delhi, India",D-2015-0005,02 Sep 2021,01 Sep 2024,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
D-2014-0034,"Vaishali Dental Care, Jabalpur, Madhya Pradesh, India",D-2015-0006,22 Sep 2025,21 Sep 2029,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.352049
D-2014-0042,"Crystal Dental Centre, Vasant Vihar, New Delhi, Delhi, India",D-2015-0007,11 Jan 2023,10 Jan 2026,,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.352049
D-2015-0047,"Dr. Gupta's Dental Specialities Centre, Chennai, Tamil Nadu, India",D-2015-0008,07 Nov 2024,06 Nov 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.352049
D-2015-0059,"Muskaan Dentals, Gurgaon, Haryana, India",D-2015-0009,07 Nov 2024,06 Nov 2028,Renewed on 3rd Edition,NABH_Dental,Dental,India,Active,2025-09-27T16:03:54.352049
D-2015-0056,"Bhandari Dental Clinic, Pune, Maharashtra, India",D-2016-0010,16 Mar 2016,15 Mar 2019,Accreditation Expired,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
D-2014-0014,"Bibhuti Bhusan Meorial Dental Hospital & Research Centre, Bhubneshwar, Orissa, India",D-2016-0011,26 Aug 2022,25 Aug 2025,,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
D-2014-0041,"Dr. Kathuria Multispeciality Dental Clinic, New Delhi, Delhi, India",D-2016-0012,03 Nov 2019,02 Nov 2022,Application Closed,NABH_Dental,Dental,India,Expired,2025-09-27T16:03:54.352049
