reference_no,name,accreditation_no,valid_from,valid_upto,remarks,accreditation_type,country,status,extracted_date
H-2006-0008,"B.M. Birla Heart Research Centre, Kolkata, West Bengal, India",H-2006-0001,30 Oct 2021,29 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0001,"Malabar Institute of Medical Sciences Ltd. (Aster MIMS), Calicut, Kerala, India",H-2006-0002,30 Oct 2021,29 Oct 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0018,"Kerala Institute of Medical Sciences (KIMS), Trivandrum, Kerala, India",H-2007-0003,03 Nov 2022,02 Nov 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0015,"Max Super Speciality Hospital, New Delhi, Delhi, India",H-2007-0004,06 Feb 2022,05 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0014,"Max Super Speciality Hospital ( A Unit of Devki Devi Foundation), New Delhi, Delhi, India",H-2007-0005,06 Feb 2022,05 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0019,"Moolchand Hospital, New Delhi, Delhi, India",H-2007-0006,19 Mar 2022,18 Mar 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0007,"Narayana Institute of Cardiac Sciences (Unit of Narayana Hrudayalaya Ltd.), Bangalore, Karnataka, India",H-2007-0007,05 Jun 2022,04 Jun 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0037,"Dr L H Hiranandani Hospital, Mumbai, Maharashtra, India",H-2007-0008,14 Sep 2022,13 Sep 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0027,"Fortis Hospital, Noida, Uttar Pradesh, India",H-2007-0009,19 Dec 2022,18 Dec 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0034,"Sagar  Hospitals, Bangalore, Karnataka, India",H-2007-0010,17 Feb 2025,16 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0039,"Manipal Hospitals Private Limited , Bangalore, Karnataka, India",H-2007-0011,20 Dec 2022,19 Dec 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0032,"Manipal Hospital, Bangalore, Karnataka, India",H-2008-0012,11 Feb 2023,10 Feb 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0049,"Nethradhama Superspeciality Eye Hospital , Bangalore, Karnataka, India",H-2008-0013,27 May 2017,26 May 2020,Shifted to Pre Entry Level,NABH,India,Expired,2025-09-22T12:39:43.659136
H-2006-0023,"Lakeshore Hospital & Research Centre Ltd., Kochi, Kerala, India",H-2008-0014,03 Jul 2022,02 Jul 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0031,"Baby Memorial Hospital, Calicut, Kerala, India",H-2008-0015,29 Dec 2021,28 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0006,"Escorts Heart Institute & Research Centre, New Delhi, Delhi, India",H-2008-0016,16 Jun 2024,15 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0028,"Sir Ganga Ram Hospital , New Delhi, Delhi, India",H-2008-0017,16 Jun 2023,15 Jun 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0046,"Escorts Fortis Hospital , Jaipur, Rajasthan, India",H-2008-0018,16 Jun 2024,15 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0060,"Fortis Hospital , Mohali, Punjab, India",H-2008-0019,16 Jun 2024,15 Jun 2028,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0024,"MGM SevenHills Hospital (A Unit of MGM Health Care Pvt. Ltd.) - (Earlier Certificate issued in the Name of SevenHills Healthcare Private Limited), Visakhapatnam, Andhra Pradesh, India",H-2008-0022,19 May 2023,18 May 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2006-0010,"Dharamshila Narayana Superspeciality Hospital, New Delhi, Delhi, India",H-2008-0023,21 Nov 2023,20 Nov 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0071,"Chacha Nehru Bal Chikitsalaya, New Delhi, Delhi, India",H-2009-0024,16 Feb 2025,15 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0058,"Kailash Hospital & Research Centre Ltd., Noida, Uttar Pradesh, India",H-2009-0025,16 Feb 2025,15 Feb 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0036,"G. Kuppuswami Naidu Memorial Hospital, Coimbatore, Tamil Nadu, India",H-2009-0026,12 Mar 2023,11 Mar 2027,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0084,"Sterling Hospitals, Ahmedabad, Gujarat, India",H-2009-0027,08 May 2025,07 May 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2007-0052,"Amrita Institute of Medical Sciences, Kochi, Kerala, India",H-2009-0028,03 Jun 2025,02 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0078,"Apollo Speciality Hospitals, Madurai, Tamil Nadu, India",H-2009-0029,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0063,"Paras Hospitals, Gurgaon, Haryana, India",H-2009-0030,01 Jul 2025,30 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0081,"Wockhardt Hospitals Ltd., Nagpur, Maharashtra, India",H-2009-0031,01 Jul 2025,30 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0072,"P D Hinduja National Hospital & Research Centre, Mumbai, Maharashtra, India",H-2009-0032,01 Jul 2025,30 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0082,"N.M. Virani Wockhardt Hospital, Rajkot, Gujarat, India",H-2009-0033,01 Jul 2025,30 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.659136
H-2008-0091,"Godrej Memorial Hospital, Mumbai, Maharashtra, India",H-2009-0034,01 Jul 2025,30 Jun 2030,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2006-0025,"Fortis Flt. Lt. Rajan Dhall Hospital, New Delhi, Delhi, India",H-2009-0035,09 Jun 2022,08 Jun 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2006-0004,"Kasturba Hospital, Manipal, Karnataka, India",H-2009-0036,21 Jun 2025,20 Jun 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2008-0064,"General Hospital, Gandhinagar, Gujarat, India",H-2009-0037,14 Sep 2012,13 Sep 2015,Application Closed,NABH,India,Expired,2025-09-22T12:39:43.665199
H-2006-0026,"Fortis Hospitals Limited, Neelam Bata Road, NIT, Faridabad, Haryana, India",H-2009-0038,14 Sep 2025,13 Sep 2029,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2009-0123,"Ruby Hall Clinic, Pune, Maharashtra, India",H-2009-0039,05 Nov 2021,04 Nov 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2008-0085,"Sterling Hospitals, Vadodara, Gujarat, India",H-2009-0040,10 Dec 2021,09 Dec 2025,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2009-0117,"Artemis Health Institute (A Unit of Artemis Medicare Services Ltd.), Gurgaon, Haryana, India",H-2010-0041,16 Feb 2022,15 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.665199
H-2008-0065,"Sparsh Hospital for Accidents Orthopedics, Plastic & Maxillo Facial Surgery, Bangalore, Karnataka, India",H-2010-0042,16 Feb 2022,15 Feb 2026,Forced Withdrawal of Accreditation w.e.f. 10th October 2024,NABH,India,Active,2025-09-22T12:39:43.666516
H-2008-0086,"Apollo Speciality Hospital, Chennai, Tamil Nadu, India",H-2010-0043,16 Feb 2022,15 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.666516
H-2009-0184,"Shalby Hospitals, Ahmedabad, Gujarat, India",H-2010-0044,03 Mar 2022,02 Mar 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.666516
H-2008-0079,"Fortis Hospitals Ltd. , Kalyan, Maharashtra, India",H-2010-0046,20 May 2022,19 May 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.666516
H-2009-0122,"Wockhardt Hospitals Ltd., Nasik, Maharashtra, India",H-2010-0047,20 May 2022,19 May 2026,Voluntary Withdrawal w.e.f 30th April 2023,NABH,India,Active,2025-09-22T12:39:43.666516
H-2006-0005,"Rockland Hospital, Qutub Institutional Area, New Delhi, Delhi, India",H-2010-0048,07 Mar 2017,06 Mar 2020,Not Recommended for Renewal of accreditation,NABH,India,Expired,2025-09-22T12:39:43.666516
H-2009-0196,"K.G. Hospital, Coimbatore, Tamil Nadu, India",H-2010-0049,24 Feb 2022,23 Feb 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.666516
H-2009-0358,"Holy Spirit Hospital, Mumbai, Maharashtra, India",H-2010-0050,20 Jul 2022,19 Jul 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.666516
H-2007-0035,"Batra Hospital & Medical Research Centre, New Delhi, Delhi, India",H-2010-0051,05 Aug 2022,04 Aug 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2008-0087,"PSG Hospitals, Coimbatore, Tamil Nadu, India",H-2010-0052,09 Sep 2022,08 Sep 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
H-2009-0176,"Frontier Lifeline Hospital, Chennai, Tamil Nadu, India",H-2010-0053,09 Sep 2022,08 Sep 2026,Renewed on 5th Edition,NABH,India,Active,2025-09-22T12:39:43.667428
