rank,name,country,region,hospital_type,total_score,percentile,certification_count
1,Apollo Hospitals,India,Asia-Pacific,General Hospital,55.0,100.00,2
2,Asansol Healthworld Pvt. Ltd.,India,Asia-Pacific,General Hospital,55.0,99.94,2
3,City Hospital,India,Asia-Pacific,General Hospital,55.0,99.87,2
4,Dhanalakshmi Srinivasan Medical College and Hospital,India,Asia-Pacific,Teaching Hospital,55.0,99.81,2
5,Fortis Hospital,India,Asia-Pacific,General Hospital,55.0,99.75,2
6,Fortis Memorial Research Institute,India,Asia-Pacific,Multi-specialty Hospital,55.0,99.69,2
7,Institute of liver & Biliary Sciences; Vasant Kunj,India,Asia-Pacific,Teaching Hospital,55.0,99.62,2
8,Manipal Hospital,India,Asia-Pacific,General Hospital,55.0,99.56,2
9,Max Hospital,India,Asia-Pacific,General Hospital,55.0,99.50,2
10,Max Super Speciality Hospital,India,Asia-Pacific,General Hospital,55.0,99.43,2
11,Rashtrasant Tukdoji Cancer Hospital and Research Centre,India,Asia-Pacific,Cancer Specialty,55.0,99.37,2
12,SS Hospital,India,Asia-Pacific,General Hospital,55.0,99.31,2
13,Upasani Super Speciality Hospital Private Limited,India,Asia-Pacific,General Hospital,55.0,99.24,2
14,Vasantha Subramanian Hospitals India Pvt. Ltd.,India,Asia-Pacific,General Hospital,55.0,99.18,2
15,Acıbadem Healthcare Group,Turkey,Europe,Hospital Network,43.0,99.12,1
16,Al Zahra Hospital Dubai,UAE,Middle East,Private Hospital,43.0,99.06,1
17,American Hospital Dubai,UAE,Middle East,Private Hospital,43.0,98.99,1
18,American University of Beirut Medical Center,Lebanon,Middle East,Academic Medical Center,43.0,98.93,1
19,Anadolu Medical Center,Turkey,Europe,Private Hospital,43.0,98.87,1
20,Apollo Hospitals Chennai,India,Asia-Pacific,Multi-specialty Hospital,43.0,98.80,1
21,Asan Medical Center,South Korea,Asia-Pacific,Academic Medical Center,43.0,98.74,1
22,Bangkok Hospital,Thailand,Asia-Pacific,Private Hospital,43.0,98.68,1
23,Bumrungrad International Hospital,Thailand,Asia-Pacific,International Hospital,43.0,98.61,1
24,CARE Hospital,India,Asia-Pacific,General Hospital,43.0,98.55,1
25,Cleveland Clinic Abu Dhabi,UAE,Middle East,Academic Medical Center,43.0,98.49,1
26,Fundación Cardioinfantil,Colombia,Americas,Cardiac Hospital,43.0,98.43,1
27,General Hospital,India,Asia-Pacific,General Hospital,43.0,98.36,1
28,Gleneagles Hospital Singapore,Singapore,Asia-Pacific,Private Hospital,43.0,98.30,1
29,Hamad Medical Corporation,Qatar,Middle East,Public Hospital System,43.0,98.24,1
30,Hirslanden Private Hospital Group,Switzerland,Europe,Private Hospital Network,43.0,98.17,1
31,Hospital Alemão Oswaldo Cruz,Brazil,Americas,Private Hospital,43.0,98.11,1
32,Hospital Británico de Buenos Aires,Argentina,Americas,Private Hospital,43.0,98.05,1
33,Hospital Israelita Albert Einstein,Brazil,Americas,Private Hospital,43.0,97.98,1
34,Hospital Italiano de Buenos Aires,Argentina,Americas,Private Hospital,43.0,97.92,1
35,Hospital Pablo Tobón Uribe,Colombia,Americas,General Hospital,43.0,97.86,1
36,Hospital Sírio-Libanês,Brazil,Americas,Private Hospital,43.0,97.80,1
37,King Abdulaziz Medical City,Saudi Arabia,Middle East,Medical City,43.0,97.73,1
38,King Faisal Specialist Hospital,Saudi Arabia,Middle East,Specialty Hospital,43.0,97.67,1
39,King Hussein Cancer Center,Jordan,Middle East,Cancer Center,43.0,97.61,1
40,Manipal Hospital Bangalore,India,Asia-Pacific,Multi-specialty Hospital,43.0,97.54,1
41,Max Super Speciality Hospital Saket,India,Asia-Pacific,Multi-specialty Hospital,43.0,97.48,1
42,Medanta The Medicity,India,Asia-Pacific,Multi-specialty Hospital,43.0,97.42,1
43,Medicana International Istanbul,Turkey,Europe,Private Hospital,43.0,97.36,1
