serial_number,reference_number,name,accreditation_number,valid_from,valid_upto,remarks,additional_info,accreditation_level,accreditation_category,country,source,scraped_date,portal_url,row_number,data_version,city,state,address,valid_from_parsed,valid_upto_parsed,certification_status
1,PEH-2014-0016,"District Male Hospital, Badaun, Uttar Pradesh, India",08 Dec 2014,Application closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.037907,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,1,2.0,Badaun,Uttar Pradesh,"Badaun, Uttar Pradesh, India",,,Unknown
2,PEH-2014-0019,"Divya Advanced ENT Clinic, Bhopal, Madhya Pradesh, India",31 Dec 2014,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.052745,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,2,2.0,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India",,,Unknown
3,PEH-2014-0020,"Asian Globus Liver & Gastrology Centre, Bhopal, Madhya Pradesh, India",31 Dec 2014,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.052745,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,3,2.0,Bhopal,Madhya Pradesh,"Bhopal, Madhya Pradesh, India",,,Unknown
4,PEH-2015-0021,"Padhar Hospital, Betul, Madhya Pradesh, India",05 Jan 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.052745,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,4,2.0,Betul,Madhya Pradesh,"Betul, Madhya Pradesh, India",,,Unknown
5,PEH-2015-0026,"Mumbai Eye Care Cornea & Lasik, Mumbai, Maharashtra, India",28 Jan 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.052745,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,5,2.0,Mumbai,Maharashtra,"Mumbai, Maharashtra, India",,,Unknown
6,PEH-2015-0030,"Era's Lucknow Medical College & Hospital, Lucknow, Uttar Pradesh, India",16 Feb 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.052745,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,6,2.0,Lucknow,Uttar Pradesh,"Lucknow, Uttar Pradesh, India",,,Unknown
7,PEH-2015-0040,"Anand Surgical Hospital Pvt. Ltd., Ahmedabad, Gujarat, India",01 Apr 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,7,2.0,Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India",,,Unknown
8,PEH-2015-0041,"IBS Hospital, Jaipur, Rajasthan, India",17 Mar 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,8,2.0,Jaipur,Rajasthan,"Jaipur, Rajasthan, India",,,Unknown
9,PEH-2015-0056,"KMC Hospital, Mangalore, Karnataka, India",30 May 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,9,2.0,Mangalore,Karnataka,"Mangalore, Karnataka, India",,,Unknown
10,PEH-2015-0057,"K. R. Puram Super Specialty Hospital, Bangalore, Karnataka, India",31 May 2015,Application Closed,,,,Entry Level,NABH Entry Level,India,NABH Entry Level Portal (Updated),2025-09-27T14:58:38.054756,https://portal.nabh.co/frmViewApplicantEntryLevelHosp.aspx#gsc.tab=0,10,2.0,Bangalore,Karnataka,"Bangalore, Karnataka, India",,,Unknown
